# 1/l [microns] ; k(l-55)0 ; s(l-55) ; sig[k(l-55)] 
 0.000            -3.020      -1.000    0.000
 0.459            -2.747      -0.842    0.000
 0.625            -2.523      -0.727    0.068
 0.800            -2.247      -0.528    0.069
 1.000            -1.761      -0.361    0.184
 1.100            -1.572      -0.284    0.100
 1.200            -1.300      -0.223    0.085
 1.250            -1.217      -0.198    0.072
 1.300            -1.073      -0.173    0.072
 1.350            -0.976      -0.150    0.061
 1.400            -0.870      -0.130    0.053
 1.450            -0.751      -0.110    0.052
 1.500            -0.630      -0.096    0.048
 1.550            -0.511      -0.081    0.041
 1.600            -0.408      -0.063    0.044
 1.650            -0.320      -0.048    0.037
 1.700            -0.221      -0.032    0.033
 1.750            -0.133      -0.017    0.030
 1.800            -0.049      -0.005    0.022
 1.818            0.000       0.000     0.022
 1.850            0.072       0.007     0.017
 1.900            0.188       0.013     0.021
 1.950            0.319       0.012     0.026
 2.000            0.438       0.010     0.032
 2.050            0.576       0.004     0.034
 2.100            0.665       0.003     0.027
 2.150            0.744       0.000     0.024
 2.200            0.838       0.002     0.017
 2.250            0.951       0.001     0.017
 2.273            1.000       0.000     0.016
 2.300            1.044       -0.000    0.020
 2.350            1.113       0.001     0.022
 2.400            1.181       0.001     0.027
 2.450            1.269       -0.002    0.034
 2.500            1.346       0.000     0.041
 2.550            1.405       -0.002    0.048
 2.600            1.476       -0.002    0.063
 2.650            1.558       -0.006    0.075
 2.700            1.632       -0.009    0.085
 2.750            1.724       -0.012    0.094
 2.800            1.791       -0.017    0.103
 2.850            1.868       -0.025    0.112
 2.900            1.947       -0.029    0.118
 2.950            2.008       -0.037    0.122
 3.000            2.090       -0.043    0.127
 3.100            2.252       -0.065    0.132
 3.200            2.406       -0.092    0.139
 3.300            2.563       -0.122    0.152
 3.400            2.728       -0.160    0.165
 3.500            2.911       -0.200    0.177
 3.600            3.112       -0.245    0.191
 3.700            3.337       -0.299    0.207
 3.800            3.586       -0.360    0.225
 3.900            3.849       -0.430    0.248
 4.000            4.169       -0.508    0.278
 4.100            4.562       -0.594    0.318
 4.200            5.039       -0.682    0.375
 4.300            5.589       -0.765    0.456
 4.400            6.151       -0.835    0.564
 4.500            6.603       -0.882    0.673
 4.600            6.804       -0.903    0.719
 4.700            6.712       -0.900    0.673
 4.800            6.416       -0.879    0.590
 4.900            6.053       -0.848    0.520
 5.000            5.716       -0.815    0.474
 5.100            5.443       -0.785    0.448
 5.200            5.237       -0.760    0.435
 5.300            5.089       -0.742    0.432
 5.400            4.989       -0.730    0.435
 5.500            4.925       -0.724    0.443
 5.600            4.889       -0.724    0.455
 5.700            4.875       -0.728    0.468
 5.800            4.876       -0.737    0.485
 5.900            4.891       -0.749    0.502
 6.000            4.916       -0.764    0.522
 6.100            4.949       -0.781    0.543
 6.200            4.993       -0.801    0.565
 6.300            5.049       -0.823    0.588
 6.400            5.115       -0.847    0.612
 6.500            5.190       -0.872    0.638
 6.600            5.273       -0.899    0.664
 6.700            5.365       -0.927    0.691
 6.800            5.465       -0.956    0.719
 6.900            5.571       -0.987    0.748
 7.000            5.685       -1.018    0.778
 7.100            5.805       -1.050    0.809
 7.200            5.932       -1.083    0.841
 7.300            6.065       -1.117    0.874
 7.400            6.203       -1.151    0.907
 7.500            6.347       -1.186    0.941
 7.600            6.497       -1.222    0.976
 7.700            6.652       -1.259    1.012
 7.800            6.812       -1.296    1.049
 7.900            6.978       -1.333    1.087
 8.000            7.148       -1.371    1.125
 8.100            7.323       -1.410    1.164
 8.200            7.502       -1.449    1.204
 8.300            7.686       -1.488    1.245
 8.400            7.874       -1.528    1.287
 8.500            8.067       -1.568    1.329
 8.600            8.264       -1.609    1.373
 8.700            8.464       -1.650    1.417
